DetailedCharacteristicSector2011Code,DetailedCharacteristicSector2011Name,PostcodeSector2011,CouncilArea2011Code,AbsorbedOther,OtherSectors
S28000373,G31 2,G31 2,S12000046,,
S28000374,G31 3,G31 3,S12000046,,
S28000375,G31 4,G31 4,S12000046,,
S28000376,G31 5,G31 5,S12000046,,
S28000377,G32 0,G32 0,S12000046,,
S28000378,G32 6,G32 6,S12000046,,
S28000379,G32 7,G32 7,S12000046,,
S28000380,G32 8,G32 8,S12000046,,
S28000381,G32 9,G32 9,S12000046,,
S28000382,G33 1 (part); G33 6 (part),G33 1,S12000046,YES,G33 6 (part)
S28000383,G33 2,G33 2,S12000046,,
S28000384,G33 3,G33 3,S12000046,,
S28000385,G33 4,G33 4,S12000046,,
S28000386,G33 5,G33 5,S12000046,,
S28000387,G33 6 (part),G33 6,S12000044,,
S28000388,G34 0; G69 8 (part),G34 0,S12000046,YES,G69 8 (part)
S28000389,G34 9,G34 9,S12000046,,
S28000390,G4 0,G4 0,S12000046,,
S28000391,G4 9,G4 9,S12000046,,
S28000392,G40 1,G40 1,S12000046,,
S28000393,G40 2,G40 2,S12000046,,
S28000394,G40 3,G40 3,S12000046,,
S28000395,G40 4,G40 4,S12000046,,
S28000396,G41 1,G41 1,S12000046,,
S28000397,G41 2,G41 2,S12000046,,
S28000398,G41 3,G41 3,S12000046,,
S28000399,G41 4,G41 4,S12000046,,
S28000400,G41 5,G41 5,S12000046,,
S28000401,G42 0,G42 0,S12000046,,
S28000402,G42 7,G42 7,S12000046,,
S28000403,G42 8,G42 8,S12000046,,
S28000404,G42 9,G42 9,S12000046,,
S28000405,G43 1,G43 1,S12000046,,
S28000406,G43 2,G43 2,S12000046,,
S28000407,G44 3 (part),G44 3,S12000011,,
S28000408,G44 3 (part),G44 3,S12000046,,
S28000409,G44 4 (part),G44 4,S12000046,,
S28000410,G44 5,G44 5,S12000046,,
S28000411,G45 0,G45 0,S12000046,,
S28000412,G45 9,G45 9,S12000046,,
S28000413,G46 6,G46 6,S12000011,,
S28000414,G46 7 (part); G46 8 (part),G46 7,S12000011,YES,G46 8 (part)
S28000415,G46 8 (part); G46 7 (part),G46 8,S12000046,YES,G46 7 (part)
S28000416,G5 0,G5 0,S12000046,,
S28000417,G5 8,G5 8,S12000046,,
S28000418,G5 9,G5 9,S12000046,,
S28000419,G51 1,G51 1,S12000046,,
S28000420,G51 2,G51 2,S12000046,,
S28000421,G51 3,G51 3,S12000046,,
S28000422,G51 4 (part),G51 4,S12000046,,
S28000423,G52 1,G52 1,S12000046,,
S28000424,G52 2,G52 2,S12000046,,
S28000425,G52 3,G52 3,S12000046,,
S28000426,G52 4 (part),G52 4,S12000046,,
S28000427,G53 5,G53 5,S12000046,,
S28000428,G53 6,G53 6,S12000046,,
S28000429,G53 7 (part),G53 7,S12000046,,
S28000430,G60 5,G60 5,S12000039,,
S28000431,G61 1 (part),G61 1,S12000045,,
S28000432,G61 2,G61 2,S12000045,,
S28000433,G61 3,G61 3,S12000045,,
S28000434,G61 4,G61 4,S12000045,,
S28000435,G62 6 (part),G62 6,S12000045,,
S28000436,G62 7,G62 7,S12000045,,
S28000437,G62 8 (part),G62 8,S12000045,,
S28000438,G63 0 (part); FK6 5 (part),G63 0,S12000030,YES,FK6 5 (part)
S28000439,G63 9 (part); G62 8 (part),G63 9,S12000030,YES,G62 8 (part)
S28000440,G64 1 (part),G64 1,S12000045,,
S28000441,G64 2 (part),G64 2,S12000045,,
S28000442,G64 3,G64 3,S12000045,,
S28000443,G64 4,G64 4,S12000045,,
S28000444,G65 0 (part),G65 0,S12000044,,
S28000445,G65 9 (part),G65 9,S12000045,,
S28000446,G65 9 (part),G65 9,S12000044,,
S28000447,G66 1,G66 1,S12000045,,
S28000448,G66 2,G66 2,S12000045,,
S28000449,G66 3,G66 3,S12000045,,
S28000450,G66 4,G66 4,S12000045,,
S28000451,G66 5 (part),G66 5,S12000045,,
S28000452,G66 7,G66 7,S12000045,,
S28000453,G66 8 (part),G66 8,S12000045,,
S28000454,G67 1,G67 1,S12000044,,
S28000455,G67 2,G67 2,S12000044,,
S28000456,G67 3 (part),G67 3,S12000044,,
S28000457,G67 4,G67 4,S12000044,,
S28000458,G68 0 (part),G68 0,S12000044,,
S28000459,G68 9 (part),G68 9,S12000044,,
S28000460,G69 0,G69 0,S12000044,,
S28000461,G69 6,G69 6,S12000046,,
S28000462,G69 7 (part),G69 7,S12000046,,
S28000463,G69 7 (part),G69 7,S12000044,,
S28000464,G69 8 (part); G66 5 (part),G69 8,S12000044,YES,G66 5 (part)
S28000465,G69 9 (part),G69 9,S12000044,,
S28000466,G71 5,G71 5,S12000044,,
S28000467,G71 6 (part); G71 7 (part),G71 6,S12000044,YES,G71 7 (part)
S28000468,G71 7 (part),G71 7,S12000046,,
S28000469,G71 7 (part); G72 6,G71 7,S12000029,YES,G72 6
S28000470,G71 8 (part),G71 8,S12000029,,
S28000471,G72 0,G72 0,S12000029,,
S28000472,G72 7,G72 7,S12000029,,
S28000473,G72 8,G72 8,S12000029,,
S28000474,G72 9,G72 9,S12000029,,
S28000475,G73 1 (part),G73 1,S12000029,,
S28000476,G73 2; G44 4 (part),G73 2,S12000029,YES,G44 4 (part)
S28000477,G73 3,G73 3,S12000029,,
