Datazone2001Code,ScottishIndexofMultipleDeprivation2012Code
S01001210,0365
S01001211,4415
S01001212,0205
S01001213,0131
S01001214,1821
S01001215,4668
S01001216,1059
S01001217,0245
S01001218,5763
S01001219,5024
S01001220,1022
S01001221,4756
S01001222,0947
S01001223,4046
S01001224,0147
S01001225,5322
S01001226,0159
S01001227,3477
S01001228,3918
S01001229,4958
S01001230,0133
S01001231,1125
S01001232,5509
S01001233,0353
S01001234,1677
S01001235,0871
S01001236,0475
S01001237,3891
S01001238,0563
S01001239,0210
S01001240,1603
S01001241,1737
S01001242,3849
S01001243,0536
S01001244,1763
S01001245,0112
S01001246,1617
S01001247,1766
S01001248,4467
S01001249,1168
S01001250,1445
S01001251,0572
S01001252,1543
S01001253,0054
S01001254,0894
S01001255,0416
S01001256,1070
S01001257,0472
S01001258,0738
S01001259,3803
S01001260,0219
S01001261,0299
S01001262,4594
S01001263,2696
S01001264,3882
S01001265,5745
S01001266,4241
S01001267,1577
S01001268,4343
S01001269,2393
S01001270,0157
S01001271,0080
S01001272,2016
S01001273,1042
S01001274,0601
S01001275,0978
S01001276,3267
S01001277,0890
S01001278,2885
S01001279,0306
S01001280,1466
S01001281,0950
S01001282,2680
S01001283,2414
S01001284,2322
S01001285,1540
S01001286,2228
S01001287,0803
S01001288,1500
S01001289,1809
S01001290,1988
S01001291,1890
S01001292,0892
S01001293,1996
S01001294,1242
S01001295,1648
S01001296,0960
S01001297,1951
S01001298,1251
S01001299,1538
S01001300,3230
S01001301,1057
S01001302,5362
S01001303,5020
S01001304,4716
S01001305,2439
S01001306,0977
S01001307,2198
S01001308,0656
S01001309,0388
S01001310,0613
S01001311,2149
S01001312,0271
S01001313,1599
S01001314,4433
S01001315,5248
S01001316,0494
S01001317,2880
S01001318,3569
S01001319,1732
S01001320,1090
S01001321,3954
S01001322,3097
S01001323,1275
S01001324,0028
S01001325,0377
S01001326,2004
S01001327,0729
S01001328,0576
S01001329,0989
S01001330,5624
S01001331,1741
S01001332,1936
S01001333,0672
S01001334,1645
S01001335,1006
S01001336,2071
S01001337,5336
S01001338,0557
S01001339,3622
S01001340,1400
S01001341,1208
S01001342,1983
S01001343,2181
S01001344,4425
S01001345,0945
S01001346,5197
S01001347,5566
S01001348,1046
S01001349,3757
S01001350,0376
S01001351,4870
S01001352,3797
S01001353,5783
S01001354,1240
S01001355,3142
S01001356,6023
S01001357,1122
S01001358,2096
S01001359,5743
S01001360,2362
S01001361,4284
S01001362,5192
S01001363,1654
S01001364,1509
S01001365,1650
S01001366,6006
S01001367,4225
S01001368,4158
S01001369,2046
S01001370,3022
S01001371,1820
S01001372,4771
S01001373,1762
S01001374,5804
S01001375,4751
S01001376,0969
S01001377,1474
S01001378,4750
S01001379,2076
S01001380,1572
S01001381,3021
S01001382,0043
S01001383,1858
S01001384,0841
S01001385,1464
S01001386,0315
S01001387,2691
S01001388,0070
S01001389,2409
S01001390,3435
S01001391,1510
S01001392,0145
S01001393,4887
S01001394,0201
S01001395,1998
S01001396,2304
S01001397,0052
S01001398,5299
S01001399,0110
S01001400,0781
S01001401,1263
S01001402,5597
S01001403,5349
S01001404,5748
S01001405,5859
S01001406,4129
S01001407,3637
S01001408,1784
S01001409,2874
S01001410,4785
S01001411,4430
S01001412,1023
S01001413,6446
S01001414,2003
S01001415,2005
S01001416,2852
S01001417,5023
S01001418,5830
S01001419,3633
S01001420,5191
S01001421,3947
S01001422,4820
S01001423,4667
S01001424,1252
S01001425,3014
S01001426,3237
S01001427,5422
S01001428,2257
S01001429,2041
S01001430,5209
S01001431,5699
S01001432,5494
S01001433,5702
S01001434,5281
S01001435,5467
S01001436,5922
S01001437,5719
S01001438,6436
S01001439,5432
S01001440,4741
S01001441,5548
S01001442,5678
S01001443,5616
S01001444,4407
S01001445,5117
S01001446,5567
S01001447,5767
S01001448,5091
S01001449,5954
S01001450,5776
S01001451,5441
S01001452,5683
S01001453,6086
S01001454,5831
S01001455,4903
S01001456,6411
S01001457,6312
S01001458,5592
S01001459,6143
S01001460,5868
S01001461,5785
S01001462,6486
S01001463,4721
S01001464,5815
S01001465,5867
S01001466,6037
S01001467,6051
S01001468,5881
S01001469,6236
S01001470,6402
S01001471,6454
S01001472,4841
