LocalCharacteristicSector2011Code,LocalCharacteristicSector2011Name,PostcodeSector2011,CouncilArea2011Code,AbsorbedOther,OtherSectors
S29000302,EH51 9,EH51 9,S12000014,NO,
S29000303,EH52 5 (part),EH52 5,S12000040,NO,
S29000304,EH52 6 (part),EH52 6,S12000040,NO,
S29000305,EH53 0 (part),EH53 0,S12000036,NO,
S29000306,EH53 0 (part),EH53 0,S12000040,NO,
S29000307,EH54 5,EH54 5,S12000040,NO,
S29000308,EH54 6,EH54 6,S12000040,NO,
S29000309,EH54 7,EH54 7,S12000040,NO,
S29000310,EH54 8,EH54 8,S12000040,NO,
S29000311,EH54 9,EH54 9,S12000040,NO,
S29000312,EH55 8 (part),EH55 8,S12000029,NO,
S29000313,EH55 8 (part),EH55 8,S12000040,NO,
S29000314,EH6 4,EH6 4,S12000036,NO,
S29000315,EH6 5,EH6 5,S12000036,NO,
S29000316,EH6 6,EH6 6,S12000036,NO,
S29000317,EH6 7,EH6 7,S12000036,NO,
S29000318,EH6 8,EH6 8,S12000036,NO,
S29000319,EH7 4,EH7 4,S12000036,NO,
S29000320,EH7 5,EH7 5,S12000036,NO,
S29000321,EH7 6,EH7 6,S12000036,NO,
S29000322,EH8 7,EH8 7,S12000036,NO,
S29000323,EH8 8,EH8 8,S12000036,NO,
S29000324,EH8 9,EH8 9,S12000036,NO,
S29000325,EH9 1,EH9 1,S12000036,NO,
S29000326,EH9 2,EH9 2,S12000036,NO,
S29000327,EH9 3,EH9 3,S12000036,NO,
S29000328,FK1 1,FK1 1,S12000014,NO,
S29000329,FK1 2 (part),FK1 2,S12000014,NO,
S29000330,FK1 2 (part),FK1 2,S12000040,NO,
S29000331,FK1 3 (part),FK1 3,S12000014,NO,
S29000332,FK1 4,FK1 4,S12000014,NO,
S29000333,FK1 5,FK1 5,S12000014,NO,
S29000334,FK10 1,FK10 1,S12000005,NO,
S29000335,FK10 2,FK10 2,S12000005,NO,
S29000336,FK10 3 (part),FK10 3,S12000005,NO,
S29000337,FK10 4 (part),FK10 4,S12000005,NO,
S29000338,FK10 4 (part),FK10 4,S12000015,NO,
S29000339,FK11 7,FK11 7,S12000005,NO,
S29000340,FK12 5,FK12 5,S12000005,NO,
S29000341,FK13 6,FK13 6,S12000005,NO,
S29000342,FK14 7 (part),FK14 7,S12000005,NO,
S29000343,FK14 7 (part),FK14 7,S12000024,NO,
S29000344,FK15 0 (part),FK15 0,S12000024,NO,
S29000345,FK15 0 (part),FK15 0,S12000030,NO,
S29000346,FK15 9 (part),FK15 9,S12000024,NO,
S29000347,FK15 9 (part),FK15 9,S12000030,NO,
S29000348,FK16 6,FK16 6,S12000030,NO,
S29000349,FK17 8,FK17 8,S12000030,NO,
S29000350,FK18 8,FK18 8,S12000030,NO,
S29000351,FK19 8 (part),FK19 8,S12000030,NO,
S29000352,FK2 0,FK2 0,S12000014,NO,
S29000353,FK2 7,FK2 7,S12000014,NO,
S29000354,FK2 8 (part),FK2 8,S12000014,NO,
S29000355,FK2 9,FK2 9,S12000014,NO,
S29000356,FK20 8 (part),FK20 8,S12000030,NO,
S29000357,FK21 8 (part),FK21 8,S12000030,NO,
S29000358,FK3 0,FK3 0,S12000014,NO,
S29000359,FK3 8,FK3 8,S12000014,NO,
S29000360,FK3 9,FK3 9,S12000014,NO,
S29000361,FK4 1,FK4 1,S12000014,NO,
S29000362,FK4 2 (part),FK4 2,S12000014,NO,
S29000363,FK5 3,FK5 3,S12000014,NO,
S29000364,FK5 4 (part),FK5 4,S12000014,NO,
S29000365,FK6 5 (part),FK6 5,S12000014,NO,
S29000366,FK6 5 (part),FK6 5,S12000030,NO,
S29000367,FK6 6 (part),FK6 6,S12000014,NO,
S29000368,FK7 0,FK7 0,S12000030,NO,
S29000369,FK7 7 (part),FK7 7,S12000014,NO,
S29000370,FK7 7 (part),FK7 7,S12000030,NO,
S29000371,FK7 8,FK7 8,S12000030,NO,
S29000372,FK7 9,FK7 9,S12000030,NO,
S29000373,FK8 1,FK8 1,S12000030,NO,
S29000374,FK8 2,FK8 2,S12000030,NO,
S29000375,FK8 3,FK8 3,S12000030,NO,
S29000376,FK9 4,FK9 4,S12000030,NO,
S29000377,FK9 5 (part),FK9 5,S12000030,NO,
S29000378,G1 1,G1 1,S12000046,NO,
S29000379,G1 2,G1 2,S12000046,NO,
S29000380,G1 3,G1 3,S12000046,NO,
S29000381,G1 4,G1 4,S12000046,NO,
S29000382,G1 5,G1 5,S12000046,NO,
S29000383,G11 5,G11 5,S12000046,NO,
S29000384,G11 6,G11 6,S12000046,NO,
S29000385,G11 7,G11 7,S12000046,NO,
S29000386,G12 0,G12 0,S12000046,NO,
S29000387,G12 8,G12 8,S12000046,NO,
S29000388,G12 9,G12 9,S12000046,NO,
S29000389,G13 1,G13 1,S12000046,NO,
S29000390,G13 2,G13 2,S12000046,NO,
S29000391,G13 3,G13 3,S12000046,NO,
S29000392,G13 4 (part),G13 4,S12000046,NO,
S29000393,G14 0 (part),G14 0,S12000039,NO,
S29000394,G14 0 (part),G14 0,S12000046,NO,
S29000395,G14 9,G14 9,S12000046,NO,
S29000396,G15 6,G15 6,S12000046,NO,
S29000397,G15 7,G15 7,S12000046,NO,
S29000398,G15 8,G15 8,S12000046,NO,
S29000399,G2 1,G2 1,S12000046,NO,
S29000400,G2 3,G2 3,S12000046,NO,
S29000401,G2 4,G2 4,S12000046,NO,
S29000402,G2 5,G2 5,S12000046,NO,
S29000403,G2 6,G2 6,S12000046,NO,
S29000404,G2 7,G2 7,S12000046,NO,
S29000405,G2 8,G2 8,S12000046,NO,
S29000406,G20 0,G20 0,S12000046,NO,
S29000407,G20 6,G20 6,S12000046,NO,
S29000408,G20 7,G20 7,S12000046,NO,
S29000409,G20 8,G20 8,S12000046,NO,
S29000410,G20 9,G20 9,S12000046,NO,
S29000411,G21 1,G21 1,S12000046,NO,
S29000412,G21 2,G21 2,S12000046,NO,
S29000413,G21 3,G21 3,S12000046,NO,
S29000414,G21 4,G21 4,S12000046,NO,
S29000415,G22 5,G22 5,S12000046,NO,
S29000416,G22 6,G22 6,S12000046,NO,
S29000417,G22 7,G22 7,S12000046,NO,
S29000418,G23 5 (part),G23 5,S12000046,NO,
S29000419,G3 6,G3 6,S12000046,NO,
S29000420,G3 7,G3 7,S12000046,NO,
S29000421,G3 8,G3 8,S12000046,NO,
S29000422,G31 1,G31 1,S12000046,NO,
S29000423,G31 2,G31 2,S12000046,NO,
S29000424,G31 3,G31 3,S12000046,NO,
S29000425,G31 4,G31 4,S12000046,NO,
S29000426,G31 5,G31 5,S12000046,NO,
S29000427,G32 0,G32 0,S12000046,NO,
S29000428,G32 6,G32 6,S12000046,NO,
S29000429,G32 7,G32 7,S12000046,NO,
S29000430,G32 8,G32 8,S12000046,NO,
S29000431,G32 9,G32 9,S12000046,NO,
S29000432,G33 1 (part),G33 1,S12000046,NO,
S29000433,G33 2,G33 2,S12000046,NO,
S29000434,G33 3,G33 3,S12000046,NO,
S29000435,G33 4,G33 4,S12000046,NO,
S29000436,G33 5,G33 5,S12000046,NO,
S29000437,G33 6 (part),G33 6,S12000046,NO,
S29000438,G33 6 (part),G33 6,S12000044,NO,
S29000439,G34 0,G34 0,S12000046,NO,
S29000440,G34 9,G34 9,S12000046,NO,
S29000441,G4 0,G4 0,S12000046,NO,
S29000442,G4 9,G4 9,S12000046,NO,
S29000443,G40 1,G40 1,S12000046,NO,
S29000444,G40 2,G40 2,S12000046,NO,
S29000445,G40 3,G40 3,S12000046,NO,
S29000446,G40 4,G40 4,S12000046,NO,
S29000447,G41 1,G41 1,S12000046,NO,
S29000448,G41 2,G41 2,S12000046,NO,
S29000449,G41 3,G41 3,S12000046,NO,
S29000450,G41 4,G41 4,S12000046,NO,
S29000451,G41 5,G41 5,S12000046,NO,
S29000452,G42 0,G42 0,S12000046,NO,
S29000453,G42 7,G42 7,S12000046,NO,
S29000454,G42 8,G42 8,S12000046,NO,
S29000455,G42 9,G42 9,S12000046,NO,
S29000456,G43 1,G43 1,S12000046,NO,
S29000457,G43 2,G43 2,S12000046,NO,
S29000458,G44 3 (part),G44 3,S12000011,NO,
S29000459,G44 3 (part),G44 3,S12000046,NO,
S29000460,G44 4 (part),G44 4,S12000046,NO,
S29000461,G44 4 (part),G44 4,S12000029,NO,
S29000462,G44 5,G44 5,S12000046,NO,
S29000463,G45 0,G45 0,S12000046,NO,
S29000464,G45 9,G45 9,S12000046,NO,
S29000465,G46 6,G46 6,S12000011,NO,
S29000466,G46 7 (part),G46 7,S12000011,NO,
S29000467,G46 7 (part),G46 7,S12000046,NO,
S29000468,G46 8 (part),G46 8,S12000011,NO,
S29000469,G46 8 (part),G46 8,S12000046,NO,
S29000470,G5 0,G5 0,S12000046,NO,
S29000471,G5 8,G5 8,S12000046,NO,
S29000472,G5 9,G5 9,S12000046,NO,
S29000473,G51 1,G51 1,S12000046,NO,
S29000474,G51 2,G51 2,S12000046,NO,
S29000475,G51 3,G51 3,S12000046,NO,
S29000476,G51 4 (part),G51 4,S12000046,NO,
S29000477,G52 1,G52 1,S12000046,NO,
S29000478,G52 2,G52 2,S12000046,NO,
S29000479,G52 3,G52 3,S12000046,NO,
S29000480,G52 4 (part),G52 4,S12000046,NO,
S29000481,G53 5,G53 5,S12000046,NO,
S29000482,G53 6,G53 6,S12000046,NO,
S29000483,G53 7 (part),G53 7,S12000046,NO,
S29000484,G60 5,G60 5,S12000039,NO,
S29000485,G61 1 (part),G61 1,S12000045,NO,
S29000486,G61 1 (part),G61 1,S12000046,NO,
S29000487,G61 2,G61 2,S12000045,NO,
S29000488,G61 3,G61 3,S12000045,NO,
S29000489,G61 4,G61 4,S12000045,NO,
S29000490,G62 6 (part),G62 6,S12000045,NO,
S29000491,G62 7,G62 7,S12000045,NO,
S29000492,G62 8 (part),G62 8,S12000045,NO,
S29000493,G62 8 (part),G62 8,S12000030,NO,
S29000494,G63 0 (part),G63 0,S12000030,NO,
S29000495,G63 9 (part),G63 9,S12000030,NO,
S29000496,G64 1 (part),G64 1,S12000045,NO,
S29000497,G64 1 (part),G64 1,S12000046,NO,
S29000498,G64 2 (part),G64 2,S12000045,NO,
S29000499,G64 3,G64 3,S12000045,NO,
S29000500,G64 4,G64 4,S12000045,NO,
S29000501,G65 0 (part),G65 0,S12000044,NO,
